PE (V):8000, 3rd Electrode (V):4000, x_width (mm):0, y_height (mm):0, 1st Solenoid wire current (A):5.848292590887, 2st Solenoid wire current (A):0.15890097727815
ion#, endposx (mm), endposy (mm), endposz (mm), endvelx (mm/usec), endvely (mm/usec), endvelz (mm/usec)
82,1004.954167371,3.3507610316472,15.507358325301,1231.9901284228,10.729294943225,49.634554995221
83,1004.9901021728,-3.7656401054589,-3.8100447156218,1231.7665772385,-12.344755761533,-12.488565039127
84,1004.9922647499,-13.144902173504,0.69270387781911,1231.7755764569,-42.572406858416,2.2470907274732
85,1004.9186665007,-3.0136245995166,-6.6552808586659,1231.7519767937,-9.8659786651854,-21.7824853351
86,1004.9524248747,2.4224818682509,-13.61933310333,1231.8025767606,7.8260084611465,-44.020444286173
87,1004.9965859578,-8.2589591419877,-5.6930410140814,1231.7366079634,-26.931380911849,-18.560911403618
88,1004.9367567054,5.2145412605256,-16.232392744515,1232.3733039299,16.447825879132,-51.216491445509
89,1004.9953020905,9.9059102831914,12.114952433993,1231.961439618,31.75099284572,38.824847873295
90,1004.975707124,1.8145578581144,-11.353009443207,1231.7418811171,5.8982461110663,-36.922702494361
91,1004.957084653,0.3061283096591,12.4098732524,1231.7551289531,0.99698236905741,40.276611960729
92,1004.9180448626,5.3354460757723,9.5682549405611,1231.7380671648,17.37531046947,31.153046942914
93,1004.967886431,6.7956828902617,-0.32154723351783,1231.7565034206,22.251267420405,-1.0545782528472
94,1004.9337609534,-6.7302169983594,-11.62883524585,1231.785971076,-21.785428548635,-37.634221531666
95,1004.9174472749,-1.3566522089066,9.2087285544014,1231.7404328245,-4.4269870834729,30.067421501278
96,1004.9286362976,3.9100252980825,-7.2991904311361,1231.745114001,12.781522651124,-23.865251647626
97,1004.9129981355,0.13539249375745,13.534312844216,1231.7895496191,0.44194157622251,43.791601070274
98,1004.9907227575,-9.0247316172475,-12.170083587939,1231.89614281,-29.009112601954,-39.11253465425
99,1004.9086122214,-4.8682455430574,-15.596249082182,1233.6573018992,-14.61091795529,-46.79265905021
100,1004.9810468609,4.6168042120148,8.2210093734996,1231.7385743016,15.071426087269,26.831711158669
101,1004.9574873296,10.72508913176,-7.9081057347762,1231.780361786,34.718799441614,-25.60434596982
102,1004.9428630656,15.689130385037,-4.9977201804265,1232.122909036,49.95738157854,-15.918625945897
103,1004.915198554,6.4149618988171,6.2950991474783,1231.7387867625,20.956269640819,20.560881181044
104,1004.9452820077,13.5780173461,6.0553688340384,1231.8687373441,43.70824570755,19.487852184181
105,1004.9683738539,-0.098303753882856,9.7983029369125,1231.7390138209,-0.31796871990436,31.964591566446
106,1004.9825889015,-1.1425455865721,3.4682490500167,1231.7801015174,-3.7479917942236,11.3806785249
107,1004.9022971667,3.2320429954429,13.699973994836,1231.8137306658,10.442534392721,44.245808240203
108,1004.964731485,3.2931859198383,10.655001059921,1231.7404849148,10.720575371526,34.675261106392
109,1004.9896137087,-9.6973084511963,2.6519110034695,1231.7364732638,-31.618502245897,8.6496034524883
110,1004.9998691938,4.3393461598602,2.4377843747805,1231.7685476467,14.228166559864,7.9916727478233
111,1004.9195005048,-7.1591216166347,-9.805574038152,1231.751968814,-23.255300737356,-31.846034153717
112,1004.921584491,-7.4041934259186,8.0575914353244,1231.7380723828,-24.106361864752,26.238506958943
113,1004.9980054007,11.400747984044,-11.46033517227,1232.0510913296,36.398731774234,-36.595044763127
114,1004.9734559654,-1.9181744732938,-13.111353319669,1231.7778436567,-6.2146676002253,-42.453705160551
115,1004.9931026104,-2.9742117974021,4.8521122620794,1231.764888176,-9.7457744448366,15.902499386333
116,1004.9076826341,-1.5070285928577,-0.16513953869315,1231.7872787996,-4.9506535906291,-0.54143284991339
117,1004.9009536587,1.1303286473093,-16.106043545112,1232.045600507,3.605783570959,-51.445402353384
118,1004.9194361867,-3.6636084659273,-2.0920022141709,1231.7754388891,-12.021104186705,-6.86249590521
120,1004.9271266971,-2.4123833033531,2.0139070314348,1231.781347026,-7.9180915511047,6.6115168025522
121,1004.9312706974,6.1123328513329,3.9234366630128,1231.7523416761,20.007596326283,12.840147565278
122,1004.9688388322,-0.9738341460277,16.590969988836,1233.4923282768,-2.9408027327403,50.181733799287
123,1004.9891426635,13.998488167823,-2.0276091412842,1231.817897735,45.18896469367,-6.5493486754624
124,1004.9865126847,3.6610355335038,-13.676071967842,1231.8187992329,11.814150893491,-44.14786109961
125,1004.9207897381,10.642880165264,3.8536711921179,1231.7417268265,34.630981002585,12.536020287802
126,1004.9268686021,16.221613572608,-3.2924074189803,1232.1453416545,51.604490919133,-10.478641198787
127,1004.9313238398,-16.186120643476,-4.9603960344934,1233.2338541924,-49.481198642529,-15.158862557011
128,1004.9401211161,1.687191691142,-0.39749797244048,1231.7853710145,5.5408043510523,-1.3068108022672
129,1004.9066673218,14.035419150227,6.7779797747385,1231.9498405824,45.011615937734,21.732003760731
130,1004.9546737788,14.023271805906,2.8798958398505,1231.8306623327,45.244296430431,9.2875316931912
131,1004.9769703678,3.9509811972605,-11.676491278373,1231.7538633156,12.821980951241,-37.904091368407
132,1004.9898047462,-16.623442890939,2.0679318441898,1232.213297935,-52.74301702851,6.5657825799958
133,1004.9142638019,-9.5117213819087,6.1816461221393,1231.7414804913,-30.946489284651,20.11604871936
134,1004.9919906376,3.7825408548283,-3.2764790237479,1231.7688662386,12.400979322275,-10.743876339007
135,1004.9358857188,-0.33031506470492,-14.405482736329,1231.8353573324,-1.0695153846963,-46.460647245419
136,1004.9783201988,3.6331940351122,6.4970354445145,1231.7500871578,11.88996191457,21.258146872851
137,1004.9306862495,-8.5842728053169,-4.9706060301312,1231.7373201314,-28.002279059911,-16.211004500194
138,1004.9494281477,4.3396188007445,-5.7475209913789,1231.7524866206,14.202813365015,-18.813712385241
140,1004.9626249072,-11.944774102277,-0.55253187899869,1231.7477685265,-38.807353325689,-1.7918397336906
141,1004.9431453607,-2.0912648048639,-16.697272340182,1233.3352175468,-6.3741638279228,-50.854229470672
142,1004.9951450664,-1.2915740894452,7.953231013229,1231.7449408742,-4.2209495685555,26.004487543756
143,1004.9934784832,-5.6621137145874,10.387098162922,1231.7467333687,-18.396644937172,33.755387981368
144,1004.9923520218,-2.1734326809607,-2.8920968480509,1231.7806871525,-7.1327680243422,-9.4889314954367
145,1004.9033356053,1.7660578409685,7.142527247666,1231.7513273972,5.7826422381837,23.377429019941
146,1004.9263698583,-10.002976729379,2.2711087637903,1231.7378516198,-32.61053647886,7.4071035145635
147,1004.9382772787,14.900990960521,0.25330960578106,1231.8724894606,47.958119828875,0.81095874018933
148,1004.9067446532,6.5883967327347,-14.23488772511,1234.0115972485,19.406356551272,-41.939999039799
149,1004.9925042478,0.23829547765951,7.0522622260567,1231.7513424143,0.78193513844504,23.083633609148
150,1004.9098466073,5.3813596718015,12.435939151412,1231.7899190822,17.414744867101,40.234449210909
151,1004.9757582628,3.6254458210204,-0.60385772639649,1231.7796049737,11.896164514582,-1.9820313419461
152,1004.9547979426,-7.6805806521312,-2.8510960183558,1231.7448719937,-25.112625515202,-9.3194279636198
153,1004.9040140549,2.9075967812651,1.3929433692937,1231.7793249481,9.545027295578,4.5712766049548
154,1004.9889466356,5.7355839579567,14.725237312287,1233.9769143622,16.954042546322,43.515592089514
155,1004.910243325,-9.4708833756464,-9.0156213297302,1231.7739112629,-30.689778951013,-29.209365129476
156,1004.9069454325,-6.3261604584644,0.092902048937572,1231.7587930687,-20.725879505478,0.30629995599859
158,1004.9046354261,15.379202399074,-2.5972480865896,1231.9521186529,49.315212292437,-8.3329587311675
159,1004.9515956506,-2.3263930454771,-1.9820434789117,1231.7831514792,-7.6366634913233,-6.5057129797856
160,1004.9617075006,4.982606380175,-1.12816966017,1231.7694369036,16.336648919479,-3.7002591119215
161,1004.9291785968,-11.014964022104,-5.0078019074325,1231.7507545608,-35.779900172143,-16.262951218601
162,1004.9687283635,11.26337518285,2.4401842936429,1231.7421234533,36.629950155614,7.9325591261628
163,1004.9543341933,6.8580833619134,-11.442189690193,1231.780934376,22.198083009189,-37.043024658547
164,1004.9615779997,0.036510847170709,-10.803003899352,1231.7394696662,0.11591296342819,-35.182275743119
165,1004.9797382053,3.7543199471432,10.06446276006,1231.739103856,12.230556209928,32.778527638796
166,1004.9755104323,5.0783962803825,-12.746443726989,1231.7962278199,16.415371153388,-41.211852532272
167,1004.9995749973,-0.79051475629001,15.084983372359,1231.8928312283,-2.5371946835176,48.494005746352
168,1004.9895456867,-5.3290992581194,6.507829972871,1231.7434053807,-17.415803269717,21.271741944592
169,1004.9242500727,0.38986937457642,-10.584599968091,1231.7365376583,1.2673502909085,-34.488583100972
170,1004.9745571914,1.1322220646522,-16.254021770929,1232.0751275755,3.6067117759066,-51.842372153209
171,1004.9664344872,-11.577329986623,-2.926140098455,1231.7475557162,-37.615225128757,-9.5038066037688
172,1004.9392272267,-0.81354990878538,13.385761768027,1231.7843652977,-2.6293135676538,43.325444859143
173,1004.915699488,12.675661248468,8.0568475072853,1231.8863376675,40.77727350072,25.913593298877
174,1004.9334422415,6.7053359253811,-6.3807451704118,1231.7400423817,21.892027349956,-20.836081632484
175,1004.9021830162,6.0904613522903,16.056049069239,1232.9617127739,18.824708615554,49.612519944043
176,1004.9454197569,8.0255997461604,-11.308704938062,1231.8051843651,25.934410728596,-36.55048909847
177,1004.9062919971,-4.9413618644625,0.35454240776112,1231.7678242904,-16.205514504394,1.1640155488987
178,1004.9215546888,9.5616638296568,12.209876102331,1231.9365006988,30.679780186753,39.169623990059
179,1004.9199985209,8.3225945029401,13.717294040458,1232.0214333506,26.60854506347,43.847149857432
180,1004.9636635137,0.91950305173922,10.422282269745,1231.7367503901,2.9993602470623,33.963160634602
181,1004.9929538371,-1.8022165684068,-4.6649555056285,1231.7688253428,-5.910395751324,-15.294634193275
182,1004.9656808866,10.08621702739,7.917142787021,1231.7651499416,32.700109668102,25.663367034449
