X [m], Y [m], Z [m], MagneticFluxDensity X [T], MagneticFluxDensity Y [T], MagneticFluxDensity Z [T]
-0.0146269, -0.00213067, -0.00533904, -0.017571, -0.000975827, -0.00535721
-0.0120911, -0.00466646, -0.00280325, -0.02102, -0.00292999, -0.00190476
-0.0109743, -0.0042858, -0.0030576, -0.0224998, -0.00363263, -0.00247314
-0.0133961, -0.0025358, -0.00258882, -0.0191638, -0.00204975, -0.00245578
0.182059, -0.00555347, 0.00426133, -0.0167369, 0.00360609, -0.0021624
0.181835, -0.00606218, 0.0035, -0.0170562, 0.00410673, -0.00206825
0.177189, -0.00555347, 0.00426133, -0.0257511, 0.00558258, -0.00474793
0.179324, -0.0025358, 0.00248278, -0.0225668, 0.00225113, -0.00193851
0.181947, -0.00580783, 0.00388067, -0.0169081, 0.00383803, -0.00202063
0.179512, -0.00580783, 0.00388067, -0.0212616, 0.00473661, -0.00308096
0.179624, -0.00555347, 0.00426133, -0.0209894, 0.00428867, -0.00328968
0.180692, -0.00404464, 0.00337205, -0.0197352, 0.0029106, -0.00244578
0.18058, -0.00429899, 0.00299139, -0.019936, 0.00320487, -0.00233487
0.178257, -0.00404464, 0.00337205, -0.0242371, 0.00381334, -0.00288598
-0.0133219, -0.00426133, -0.00555347, -0.0190536, -0.00148982, -0.00378692
-0.0130617, -0.00494975, -0.00494975, -0.0188921, -0.00235343, -0.00357908
-0.00875132, -0.00426133, -0.00555347, -0.0257022, -0.00561225, -0.00518538
-0.0108603, -0.00507159, -5.30183e-05, -0.0220075, -0.00434305, -2.07378e-05
-0.0131918, -0.00460554, -0.00525161, -0.0189259, -0.00194441, -0.0036504
-0.0109065, -0.00460554, -0.00525161, -0.0220638, -0.0037967, -0.0042097
-0.0110366, -0.00426133, -0.00555347, -0.0220902, -0.00357684, -0.00446032
-0.0120911, -0.00466646, -0.00280325, -0.02102, -0.00292999, -0.00190476
-0.011961, -0.00501067, -0.00250138, -0.0204964, -0.00342971, -0.00191008
-0.0098058, -0.00466646, -0.00280325, -0.0239443, -0.00505829, -0.00245016
-0.00475188, -0.00426133, -0.00555347, -0.0338009, -0.00739498, -0.00605525
-0.00325289, -0.00494975, -0.00494975, -0.0373421, -0.00806935, -0.00565014
0.00415951, -0.00426133, -0.00555347, -0.0583858, -0.00504127, -0.0109149
-0.00578869, 0, -0.00512461, -0.0317046, 0.000266409, -0.0022192
-0.00400239, -0.00460554, -0.00525161, -0.0354997, -0.00774786, -0.00625008
0.00045331, -0.00460554, -0.00525161, -0.0467643, -0.00831491, -0.00766067
-0.000296188, -0.00426133, -0.00555347, -0.0448177, -0.00815955, -0.00690832
-0.00527029, -0.00213067, -0.00533904, -0.0329566, -0.00384622, -0.00414468
-0.00452079, -0.00247487, -0.00503718, -0.0346655, -0.00424343, -0.00431624
-0.000814589, -0.00213067, -0.00533904, -0.0437923, -0.00407751, -0.00673519
-0.0235834, 0.00606218, 0.0035, -0.00753061, 0.00165663, -0.00111098
-0.03, 0.00555347, 0.00426133, -0.00559036, 0.000889569, 0.00110703
